task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	e3/e8c59f	19202	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (SRX17852074.fasta)	COMPLETED	0	2024-05-22 10:22:59.652	917ms	0ms	66.5%	3.9 MB	11.6 MB	818.1 KB	4.9 KB
3	2d/6a1d5e	19206	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (SRX17852074_samplesheet.csv)	COMPLETED	0	2024-05-22 10:22:59.681	1.2s	0ms	91.1%	4.3 MB	9.9 MB	24.4 MB	559 B
5	2f/c01842	19204	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (SRX17852074.fasta)	COMPLETED	0	2024-05-22 10:22:59.672	2.5s	1s	100.6%	111 MB	1.4 GB	53 MB	8.4 MB
4	f9/842c5d	20188	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (SRX17852074_Artic_4.1.bed)	COMPLETED	0	2024-05-22 10:23:02.198	1.2s	1s	85.0%	4.2 MB	9.9 MB	24.4 MB	4.4 KB
1	44/781c42	19643	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (SRX17852074.fasta)	COMPLETED	0	2024-05-22 10:23:00.585	3.2s	3s	72.3%	83.5 MB	15.3 GB	41.6 MB	16.9 KB
6	b7/d080bc	20190	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRX17852074)	COMPLETED	0	2024-05-22 10:23:02.208	12.4s	12s	119.8%	1.1 GB	1.1 GB	99.2 MB	20 MB
7	47/c3e954	21195	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRX17852074)	COMPLETED	0	2024-05-22 10:23:14.734	16.4s	15s	1087.0%	330.4 MB	2.3 GB	131.4 MB	103.3 MB
8	5e/5672a5	22522	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRX17852074)	COMPLETED	0	2024-05-22 10:23:33.399	3.7s	2s	110.9%	84.7 MB	5.5 GB	20.1 MB	10.3 MB
9	ce/59ad01	22761	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRX17852074)	COMPLETED	0	2024-05-22 10:23:37.882	4.7s	1s	34.1%	3.6 MB	9.3 MB	11.1 MB	5 KB
12	bb/e82303	22928	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRX17852074)	COMPLETED	0	2024-05-22 10:23:42.588	3.3s	0ms	24.4%	3.3 MB	10.8 MB	848.9 KB	5 KB
